DynoWare,Version 2.5.1.2
Path:,C:\Users\Administrator\Desktop\20180315\
Filename:,6-n6000f600ap3ae25.dwd
Config ID:,6-n6000f600ap3ae25.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:, 
Time:, 
Sampling rate [Hz]:,10000
Measuring time [s]:,50
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,500001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
5,276.031,40.1917,94.7571
5.0001,257.538,40.3748,95.7642
5.0002,243.439,33.2336,108.49
5.0003,234.741,29.1138,118.103
5.0004,229.706,35.614,122.498
5.0005,234.1,51.5442,116.73
5.0006,241.699,80.8411,98.7854
5.0007,241.058,110.596,80.2917
5.0008,238.77,133.118,73.3337
5.0009,233.093,148.773,78.4607
5.001,218.353,155.731,87.616
5.0011,199.493,161.591,83.8623
5.0012,175.964,158.936,81.3904
5.0013,154.266,150.97,82.9468
5.0014,136.505,144.104,84.2285
5.0015,129.181,141.815,83.5876
5.0016,125.427,142.365,74.0662
5.0017,130.28,145.294,57.2205
5.0018,141.724,134.491,24.353
5.0019,132.111,93.5669,11.6272
5.002,98.053,-1.28174,25.3601
5.0021,31.8604,-93.75,39.5508
5.0022,-43.6707,-146.027,39.2761
5.0023,-110.138,-161.774,30.3955
5.0024,-162.415,-152.344,38.6353
5.0025,-175.507,-123.505,46.1426
5.0026,-148.956,-93.6584,58.96
5.0027,-92.1936,-53.3752,62.2559
5.0028,-30.9448,-26.5503,56.488
5.0029,30.4871,-34.1492,50.7202
5.003,90.8203,-71.5942,57.312
5.0031,134.583,-105.743,58.0444
5.0032,147.491,-136.78,65.3687
5.0033,130.92,-162.048,68.2983
5.0034,103.271,-172.211,58.8684
5.0035,74.2493,-164.703,45.5933
5.0036,50.4456,-134.674,38.8184
5.0037,32.5928,-95.3064,32.0435
5.0038,23.6206,-63.5376,32.3181
5.0039,37.3535,-50.0793,37.6282
5.004,64.3616,-64.0869,47.0581
5.0041,97.4121,-86.792,62.6221
5.0042,131.47,-108.307,73.5168
5.0043,162.689,-125.977,79.3762
5.0044,185.303,-133.392,72.6929
5.0045,195.099,-123.047,64.6362
5.0046,188.324,-88.1653,51.6357
5.0047,167.175,-42.7551,45.1355
5.0048,141.357,-3.2959,43.9453
5.0049,113.983,13.6414,46.9666
5.005,91.095,14.0076,50.5371
5.0051,77.0874,3.11279,47.8821
5.0052,78.5522,-9.70459,50.2625
5.0053,90.7288,-20.05,55.8472
5.0054,106.842,-24.9939,61.7065
5.0055,125.427,-13.8245,60.2417
5.0056,144.287,12.5427,53.2837
5.0057,153.168,44.22,41.1072
5.0058,143.829,65.094,34.1492
5.0059,117.462,71.0449,23.0713
5.006,89.0808,68.6646,17.9443
5.0061,54.1992,54.7485,9.8877
5.0062,7.87354,35.7056,8.3313
5.0063,-25.8179,16.9373,15.564
5.0064,-38.5437,12.7258,18.8599
5.0065,-27.6489,22.2473,26.0925
5.0066,3.75366,38.1775,30.5786
5.0067,47.1497,42.572,59.1431
5.0068,93.2007,20.6909,96.9543
5.0069,67.6575,-36.438,98.6023
5.007,-25.2686,-128.906,88.1653
5.0071,-119.934,-222.473,82.8552
5.0072,-203.705,-292.511,74.8901
5.0073,-239.777,-336.548,85.4187
5.0074,-223.663,-344.696,104.919
5.0075,-180.817,-320.435,133.301
5.0076,-113.525,-272.278,135.406
5.0077,-26.001,-223.938,127.899
5.0078,62.7136,-182.556,118.561
5.0079,135.04,-160.675,117.554
5.008,178.711,-169.373,118.744
5.0081,194.824,-204.62,122.772
5.0082,194.458,-252.136,118.378
5.0083,174.683,-292.328,110.046
5.0084,154.724,-305.969,94.2078
5.0085,148.041,-292.053,85.0525
5.0086,152.618,-253.51,85.144
5.0087,166.077,-203.522,75.4395
5.0088,194.092,-163.513,81.665
5.0089,226.593,-132.751,83.8623
5.009,250.58,-119.019,88.0737
5.0091,268.341,-128.265,96.4966
5.0092,280.884,-146.484,104.736
5.0093,290.68,-158.478,116.821
5.0094,293.518,-156.006,117.279
5.0095,296.997,-140.533,109.68
5.0096,296.265,-106.384,100.8
5.0097,292.694,-60.2417,95.1233
5.0098,291.138,-14.0076,92.926
5.0099,289.215,18.4021,96.3135
5.01,275.848,35.9802,97.6868
5.0101,253.967,37.6282,99.2432
5.0102,239.136,30.3955,114.075
5.0103,231.079,32.6843,120.575
5.0104,227.234,40.8325,123.23
5.0105,234.833,58.4106,118.378
5.0106,242.706,84.8694,102.539
5.0107,246.552,113.251,83.4045
5.0108,246.094,136.871,76.4465
5.0109,240.051,148.682,80.0171
5.011,224.121,156.189,84.0454
5.0111,203.796,159.576,85.6934
5.0112,179.901,158.295,84.7778
5.0113,157.196,156.281,90.5457
5.0114,138.519,151.978,88.2568
5.0115,128.54,147.034,89.5386
5.0116,125.61,146.942,81.4819
5.0117,133.575,148.041,74.9817
5.0118,139.618,138.245,30.8533
5.0119,129.73,99.6094,9.61304
5.012,97.7783,5.31006,21.6064
5.0121,36.6211,-95.0317,40.0085
5.0122,-37.4451,-148.59,39.3677
5.0123,-100.983,-163.696,33.9661
5.0124,-153.992,-151.52,45.1355
5.0125,-171.844,-122.681,49.1638
5.0126,-145.569,-93.75,56.1218
5.0127,-94.2993,-57.4951,60.9741
5.0128,-36.9873,-29.7546,56.3965
5.0129,24.353,-35.2478,54.9316
5.013,86.8835,-72.1436,56.1218
5.0131,132.202,-107.758,60.5164
5.0132,149.506,-137.421,65.2771
5.0133,134.308,-160.583,68.3899
5.0134,107.849,-167.908,61.0657
5.0135,78.0945,-162.964,46.9666
5.0136,52.0935,-135.406,39.1846
5.0137,34.0576,-97.229,33.0505
5.0138,25.4517,-64.8193,33.3252
5.0139,36.438,-49.9878,38.4521
5.014,61.9812,-65.094,47.2412
5.0141,97.4121,-88.2568,62.1643
5.0142,129.456,-107.758,72.9675
5.0143,161.133,-122.864,77.4536
5.0144,183.289,-127.991,70.9534
5.0145,192.719,-117.828,67.5659
5.0146,188.232,-85.6934,48.6145
5.0147,169.83,-44.7693,45.5933
5.0148,145.386,-7.04956,46.3257
5.0149,113.983,10.9863,45.7764
5.015,89.5386,8.5144,49.2554
5.0151,74.707,0,45.7764
5.0152,74.707,-12.085,48.7976
5.0153,89.3555,-20.5994,54.0161
5.0154,105.743,-23.6206,59.3262
5.0155,124.786,-10.9863,59.5093
5.0156,142.548,14.0991,54.1077
5.0157,153.168,43.396,42.6636
5.0158,144.104,62.0728,34.6069
5.0159,117.371,69.7632,24.7192
5.016,90.1794,68.3899,18.5852
5.0161,56.3049,54.3823,13.6414
5.0162,14.6484,34.4238,13.0005
5.0163,-19.2261,21.3318,15.1978
5.0164,-33.3252,15.7471,17.9443
5.0165,-25.0854,20.2332,24.2615
5.0166,3.66211,34.6985,31.0364
5.0167,50.7202,39.8254,71.228
5.0168,89.3555,15.1978,101.44
5.0169,55.2063,-41.4734,100.891
5.017,-34.2407,-127.167,91.2781
5.0171,-121.033,-216.614,82.489
5.0172,-202.24,-288.94,74.0662
5.0173,-233.643,-332.062,86.4258
5.0174,-216.431,-338.379,106.934
5.0175,-176.605,-316.132,132.843
5.0176,-108.307,-269.531,133.667
5.0177,-19.7754,-222.839,125.519
5.0178,66.6504,-184.387,125.885
5.0179,136.597,-168.457,124.054
5.018,176.88,-175.598,122.681
5.0181,189.056,-208.74,122.681
5.0182,188.324,-252.136,112.885
5.0183,170.288,-287.292,103.18
5.0184,150.421,-296.814,90.6372
5.0185,146.576,-283.539,83.6792
5.0186,154.541,-245.453,79.4678
5.0187,168.732,-198.486,71.6858
5.0188,195.923,-161.865,76.0803
5.0189,226.868,-134.125,79.2847
5.019,250.214,-121.765,83.7708
5.0191,267.883,-130.188,96.405
5.0192,282.166,-144.196,105.103
5.0193,290.588,-153.076,116.364
5.0194,293.152,-154.999,115.356
5.0195,292.328,-139.252,110.413
5.0196,288.757,-102.722,95.7642
5.0197,286.285,-58.5938,93.1091
5.0198,286.285,-14.8315,95.2148
5.0199,281.616,18.0359,95.4895
5.02,272.095,31.1279,96.7712
5.0201,258.179,34.0576,102.997
5.0202,243.53,27.832,110.504
5.0203,234.924,29.3884,122.772
5.0204,230.255,42.2974,121.124
5.0205,233.734,60.3333,117.645
5.0206,241.608,86.4258,97.1375
5.0207,245.27,112.793,86.792
5.0208,243.896,133.392,77.9114
5.0209,239.044,144.379,79.01
5.021,222.382,153.625,80.7495
5.0211,196.106,153.992,79.834
5.0212,173.859,151.886,82.3059
5.0213,156.006,152.618,84.3201
5.0214,139.618,149.231,87.4329
5.0215,133.484,148.315,89.0808
5.0216,130.096,151.245,78.186
5.0217,130.188,150.696,70.4041
5.0218,140.35,133.392,24.8108
5.0219,126.892,89.6301,8.5144
5.022,92.1021,-5.12695,24.6277
5.0221,32.5012,-95.9473,39.6423
5.0222,-36.0718,-140.167,39.7339
5.0223,-96.8628,-151.611,36.2549
5.0224,-153.534,-144.653,42.572
5.0225,-179.993,-121.49,48.3398
5.0226,-148.865,-96.4966,53.5583
5.0227,-95.8557,-59.0515,55.0232
5.0228,-36.8042,-27.832,55.1147
5.0229,26.9165,-32.959,57.312
5.023,86.9751,-68.7561,59.1431
5.0231,130.737,-105.286,59.6008
5.0232,145.752,-134.216,62.8052
5.0233,131.012,-158.295,64.3616
5.0234,106.567,-169.739,57.9529
5.0235,80.0171,-163.605,46.1426
5.0236,54.4739,-135.864,41.9312
5.0237,32.2266,-95.3979,34.5154
5.0238,22.7051,-62.3474,34.1492
5.0239,32.6843,-51.0864,31.9519
5.024,59.967,-68.7561,44.1284
5.0241,94.6655,-86.8835,57.9529
5.0242,128.448,-101.898,70.6787
5.0243,155.731,-117.279,71.5027
5.0244,177.979,-125.793,68.2983
5.0245,189.331,-115.54,63.6292
5.0246,184.387,-85.968,50.6287
5.0247,168.823,-44.6777,48.8892
5.0248,143.188,-13.4583,49.1638
5.0249,113.251,3.2959,46.7834
5.025,89.0808,3.11279,45.3186
5.0251,77.7283,-1.19019,45.6848
5.0252,79.01,-7.41577,47.0581
5.0253,91.5527,-15.1062,53.9246
5.0254,107.849,-18.1274,59.0515
5.0255,125.519,-8.23975,59.967
5.0256,139.984,13.8245,49.7131
5.0257,147.491,39.1846,41.0156
5.0258,136.963,55.7556,34.0576
5.0259,111.786,62.2559,26.7334
5.026,88.5315,64.9109,18.4021
5.0261,56.0303,54.657,12.3596
5.0262,15.564,37.9028,10.7117
5.0263,-16.571,31.0364,14.5569
5.0264,-31.8604,17.8528,18.1274
5.0265,-24.9023,23.2544,23.6206
5.0266,1.5564,35.9802,24.8108
5.0267,47.5159,41.2903,58.4106
5.0268,89.3555,18.1274,96.6797
5.0269,59.2346,-40.9241,98.1445
5.027,-36.8958,-128.998,92.3767
5.0271,-125.336,-218.079,80.8411
5.0272,-203.156,-282.898,71.7773
5.0273,-233.551,-320.709,85.3271
5.0274,-217.438,-327.484,102.539
5.0275,-177.429,-309.357,131.561
5.0276,-111.694,-266.602,126.801
5.0277,-26.0925,-223.297,119.019
5.0278,63.1714,-186.035,117.279
5.0279,133.026,-170.563,121.124
5.028,174.683,-178.345,121.674
5.0281,189.789,-209.839,122.498
5.0282,189.88,-247.742,118.652
5.0283,171.387,-280.151,103.455
5.0284,151.703,-292.786,93.2007
5.0285,146.393,-282.166,84.4116
5.0286,151.794,-252.319,81.4819
5.0287,165.802,-205.444,75.0732
5.0288,190.887,-165.253,75.7141
5.0289,221.924,-137.878,77.4536
5.029,244.08,-127.441,83.4961
5.0291,261.475,-134.674,95.1233
5.0292,276.947,-148.132,103.729
5.0293,291.87,-149.689,111.694
5.0294,293.518,-147.034,112.152
5.0295,296.173,-132.843,108.124
5.0296,297.18,-103.455,96.4966
5.0297,290.131,-60.5164,95.1233
5.0298,292.236,-19.7754,95.5811
5.0299,286.56,7.96509,96.1304
5.03,268.433,23.9868,94.9402
5.0301,255.066,32.135,102.539
5.0302,238.953,32.2266,105.56
5.0303,229.065,36.9873,121.216
5.0304,227.142,50.2625,120.3
5.0305,239.044,66.0095,125.336
5.0306,248.291,88.623,101.44
5.0307,253.326,114.624,89.5386
5.0308,246.643,132.111,76.8127
5.0309,236.481,138.885,82.6721
5.031,220.734,147.034,76.8127
5.0311,194.458,150.055,79.1016
5.0312,170.38,151.062,78.9185
5.0313,151.611,153.625,89.9963
5.0314,138.794,152.893,88.9893
5.0315,133.667,155.64,91.3696
5.0316,134.308,159.302,82.3975
5.0317,144.012,155.823,76.7212
5.0318,145.66,139.984,28.3813
5.0319,132.935,92.1021,16.6626
5.032,96.1304,-9.42993,30.1208
5.0321,21.7896,-112.701,42.2058
5.0322,-53.3752,-161.407,39.2761
5.0323,-111.053,-164.795,31.9519
5.0324,-160.675,-141.815,42.9382
5.0325,-173.309,-110.687,47.8821
5.0326,-142.181,-82.2144,54.8401
5.0327,-85.6018,-49.7131,58.136
5.0328,-26.0925,-25.9094,52.2766
5.0329,33.5999,-34.2407,55.8472
5.033,89.447,-75.8972,59.4177
5.0331,131.744,-114.807,66.0095
5.0332,145.203,-144.653,64.0869
5.0333,125.427,-164.978,67.5659
5.0334,100.983,-169.189,56.7627
5.0335,74.1577,-160.309,45.0439
5.0336,54.1077,-133.85,39.3677
5.0337,39.5508,-95.0317,36.8958
5.0338,30.0293,-61.7065,35.3394
5.0339,36.0718,-50.6287,33.5083
5.034,60.2417,-69.9463,46.6919
5.0341,88.2568,-92.3767,58.5022
5.0342,119.659,-110.321,70.8618
5.0343,151.154,-122.314,74.9817
5.0344,173.492,-129.089,69.1223
5.0345,190.063,-116.821,65.1855
5.0346,192.169,-84.9609,52.0935
5.0347,176.697,-42.3889,49.8047
5.0348,152.252,-5.76782,50.5371
5.0349,122.04,9.15527,48.3398
5.035,94.7571,5.85938,47.4243
5.0351,80.7495,-2.92969,44.5862
5.0352,77.3621,-10.7117,46.4172
5.0353,86.792,-19.4092,53.009
5.0354,102.448,-21.7896,58.5022
5.0355,118.652,-8.60596,60.5164
5.0356,134.583,15.9302,50.4456
5.0357,148.224,43.4875,39.4592
5.0358,143.188,60.6079,31.311
5.0359,121.582,66.3757,27.832
5.036,97.3206,66.0095,22.4304
5.0361,65.7349,54.657,14.0076
5.0362,20.05,37.262,9.8877
5.0363,-20.1416,22.7051,16.1133
5.0364,-36.0718,17.7612,18.7683
5.0365,-29.0222,25.2686,27.1912
5.0366,0,40.3748,31.5857
5.0367,51.6357,45.3186,68.1152
5.0368,92.4683,19.5923,100.159
5.0369,60.6079,-43.1213,102.631
5.037,-32.4097,-131.836,94.574
5.0371,-124.695,-221.741,82.2144
5.0372,-203.613,-293.243,79.1931
5.0373,-234.375,-331.146,91.7358
5.0374,-222.015,-334.534,110.87
5.0375,-182.922,-312.744,131.744
5.0376,-114.075,-268.433,127.167
5.0377,-27.3743,-224.304,116.455
5.0378,67.0166,-188.507,118.011
5.0379,139.893,-169.647,119.843
5.038,181.641,-178.253,124.603
5.0381,194.824,-209.198,129.913
5.0382,193.726,-249.481,121.033
5.0383,172.394,-283.264,106.11
5.0384,149.597,-295.99,90.5457
5.0385,139.984,-283.264,80.4749
5.0386,148.682,-250.122,83.9539
5.0387,164.337,-203.888,75.8057
5.0388,192.444,-167.999,79.834
5.0389,227.051,-140.625,78.186
5.039,256.439,-128.998,88.623
5.0391,274.475,-138.794,101.257
5.0392,286.835,-150.879,109.222
5.0393,295.441,-155.273,112.244
5.0394,293.884,-151.062,111.42
5.0395,290.131,-135.59,105.286
5.0396,287.292,-101.898,100.891
5.0397,283.356,-57.9529,99.3347
5.0398,283.813,-17.9443,99.7925
5.0399,282.806,15.8386,96.5881
5.04,270.63,27.2827,97.5037
5.0401,262.848,30.3955,101.99
5.0402,246.918,30.2124,107.849
5.0403,238.22,34.6985,122.955
5.0404,234.741,46.3257,121.49
5.0405,240.875,64.0869,123.505
5.0406,249.39,89.9963,102.814
5.0407,249.207,115.356,87.0667
5.0408,240.051,134.674,77.7283
5.0409,231.354,146.301,84.0454
5.041,218.994,152.985,82.1228
5.0411,198.944,154.175,85.6934
5.0412,178.619,155.823,85.3271
5.0413,157.288,152.71,94.1162
5.0414,141.998,149.414,96.3135
5.0415,133.301,148.59,90.271
5.0416,129.913,148.865,79.3762
5.0417,139.709,149.506,70.1294
5.0418,143.28,139.526,33.5999
5.0419,126.16,96.0388,13.2751
5.042,88.7146,0.274658,24.6277
5.0421,19.9585,-104.187,36.438
5.0422,-57.4951,-162.689,38.6353
5.0423,-116.089,-171.661,31.311
5.0424,-159.943,-147.583,45.5933
5.0425,-168.091,-108.215,49.0723
5.0426,-136.597,-77.5452,55.8472
5.0427,-80.2917,-46.9666,59.4177
5.0428,-21.6064,-28.656,55.6641
5.0429,35.5225,-41.6565,54.0161
5.043,90.4541,-82.0313,60.4248
5.0431,131.653,-121.307,64.6362
5.0432,144.745,-151.794,69.5801
5.0433,124.603,-166.901,66.6504
5.0434,98.3276,-167.725,57.0374
5.0435,71.3196,-153.717,39.917
